ANIO,TIPO_UNIV,NIVEL_ACADEM,OF_ACADEM,DISCIP_OCDE,DISCIP_ESPECIF,TIPO_ALUMNO,U_MED,VALOR
2018,Privado,Grado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,138
2018,Privado,Grado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,2.420
2018,Privado,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,0
2018,Privado,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,12
2018,Privado,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,37
2018,Privado,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,103
2018,Privado,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,7
2018,Privado,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,37
2018,Privado,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,96
2018,Privado,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,553
2018,Publica,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,1.585
2018,Publica,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,26.357
2018,Publica,Grado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,850
2018,Publica,Grado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,23.360
2018,Publica,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,76
2018,Publica,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,698
2018,Publica,Posgrado,Doctorado,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,46
2018,Publica,Posgrado,Doctorado,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,414
2018,Publica,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,83
2018,Publica,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,529
2018,Publica,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,147
2018,Publica,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,737
2018,Publica,Posgrado,Maestria,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,77
2018,Publica,Posgrado,Maestria,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,858
2018,Publica,Posgrado,Maestria,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,18
2018,Publica,Posgrado,Maestria,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,156
2018,Publica,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,160
2018,Publica,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,3.664
2019,Privado,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,142
2019,Privado,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,1.197
2019,Privado,Grado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,148
2019,Privado,Grado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,2.155
2019,Privado,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,2
2019,Privado,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,10
2019,Privado,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,23
2019,Privado,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,103
2019,Privado,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,6
2019,Privado,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,26
2019,Privado,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,102
2019,Privado,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,543
2019,Publica,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,1.298
2019,Publica,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,26.036
2019,Publica,Grado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,901
2019,Publica,Grado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,23.663
2019,Publica,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,45
2019,Publica,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,589
2019,Publica,Posgrado,Doctorado,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,42
2019,Publica,Posgrado,Doctorado,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,368
2019,Publica,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,65
2019,Publica,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,558
2019,Publica,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,141
2019,Publica,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,712
2019,Publica,Posgrado,Maestria,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,73
2019,Publica,Posgrado,Maestria,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,931
2019,Publica,Posgrado,Maestria,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,20
